Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Physical_Activity,Exam_Score,Parental_Involvement_Low,Parental_Involvement_Medium,Access_to_Resources_Low,Access_to_Resources_Medium,Extracurricular_Activities_Yes,Motivation_Level_Low,Motivation_Level_Medium,Internet_Access_Yes,Family_Income_Low,Family_Income_Medium,Teacher_Quality_Low,Teacher_Quality_Medium,School_Type_Public,Peer_Influence_Neutral,Peer_Influence_Positive,Learning_Disabilities_Yes,Parental_Education_Level_High School,Parental_Education_Level_Postgraduate,Distance_from_Home_Moderate,Distance_from_Home_Near,Gender_Male
23,84,7,73,0,3,67,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1
19,64,8,59,2,4,61,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0
24,98,7,91,2,4,74,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1
29,89,8,98,1,4,71,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1
19,92,6,65,3,4,70,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0
19,88,8,89,3,3,71,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1
29,84,7,68,1,2,67,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1
25,78,6,50,1,2,66,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1
17,94,6,80,0,1,69,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1
23,98,8,71,0,5,72,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
17,80,8,88,4,4,68,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
17,97,6,87,2,2,71,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1
21,83,8,97,2,4,70,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1
9,82,8,72,2,3,66,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1
10,78,8,74,1,4,65,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1
17,68,8,70,2,4,64,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0
14,60,10,65,0,3,60,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
22,70,6,82,1,3,65,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0
15,80,9,91,3,2,67,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0
12,75,7,58,3,4,66,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1
29,78,5,99,0,1,69,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0
19,99,6,84,1,3,72,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1
20,74,8,89,1,2,66,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0
11,78,8,100,1,3,66,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1
17,65,5,75,2,3,63,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0
21,62,6,54,0,3,64,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
13,91,6,90,1,2,65,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0
22,83,6,94,0,2,71,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1
16,90,4,58,1,3,66,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0
18,66,4,51,2,2,64,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1
16,83,6,57,0,4,63,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0
31,70,7,66,1,3,69,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1
20,69,8,96,2,3,67,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1
14,60,5,50,2,3,61,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0
25,65,5,90,2,3,68,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0
13,72,6,93,1,3,61,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1
21,65,7,91,2,3,64,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0
8,99,9,54,2,5,67,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0
12,72,8,84,1,5,63,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0
21,65,6,98,1,4,64,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1
24,68,8,56,3,1,67,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1
21,84,6,52,1,2,65,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0
19,63,7,94,1,3,64,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1
18,94,7,82,3,2,70,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1
11,98,9,82,1,3,68,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
16,70,8,98,2,3,65,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1
17,78,6,88,1,3,68,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0
26,61,6,70,2,3,64,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0
22,86,7,72,3,2,68,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1
9,77,5,57,2,3,63,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1
22,71,7,65,1,4,64,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1
18,68,7,72,0,3,64,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1
16,86,8,63,2,4,67,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1
24,77,8,96,0,3,67,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0
26,67,7,51,2,4,66,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
26,88,5,79,1,4,72,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1
15,83,5,89,1,2,65,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0
18,94,6,87,1,4,71,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1
22,65,8,82,2,1,66,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0
26,91,8,71,0,3,68,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1
17,87,7,96,1,5,70,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0
19,65,10,66,0,3,62,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
13,88,9,88,2,4,68,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
13,78,9,96,2,3,67,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1
25,98,8,56,0,3,71,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1
28,66,8,97,0,2,68,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1
20,86,8,89,1,3,69,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1
26,75,4,81,3,2,70,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1
22,98,5,69,1,4,69,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
16,73,7,95,1,4,65,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1
22,98,7,52,3,3,70,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0
29,96,7,72,1,3,71,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1
20,71,7,88,1,4,65,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0
29,92,4,91,2,1,72,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0
4,100,8,60,0,4,69,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
25,70,7,52,1,3,66,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0
21,77,7,90,4,3,68,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1
18,81,8,71,0,3,65,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0
21,72,5,57,1,5,64,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1
8,61,7,54,1,3,60,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1
19,69,7,82,1,2,65,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1
22,71,6,79,1,3,66,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1
29,78,4,93,5,3,74,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1
17,67,5,52,2,3,62,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
15,95,7,93,2,4,70,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1
17,88,7,94,0,3,69,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1
25,63,7,72,3,4,67,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
22,86,6,54,2,0,64,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1
17,86,5,97,3,3,71,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
23,98,7,54,0,3,68,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0
21,60,7,80,0,4,64,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1
26,70,8,75,1,4,63,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0
16,97,6,92,0,4,71,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
18,97,4,75,0,3,69,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
18,89,4,73,3,2,100,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
11,91,6,94,3,3,68,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1
22,64,7,98,1,3,62,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1
22,81,7,77,2,3,68,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0
20,69,6,73,2,3,66,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1
19,67,5,92,0,3,64,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1
12,92,4,92,2,3,67,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1
17,65,8,66,1,4,65,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0
18,79,7,79,0,3,65,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
15,98,6,58,0,3,69,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1
19,67,5,82,1,3,63,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1
22,99,6,92,3,4,72,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1
31,100,7,59,2,5,76,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1
21,82,7,66,3,3,69,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0
22,67,7,72,3,2,67,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0
20,73,9,92,2,3,69,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1
8,77,6,87,0,2,63,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1
20,72,9,66,3,3,67,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1
20,71,7,62,2,5,66,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1
